Nama_File,Drive_ID,Link_Drive
siswa_5_Bahasa Inggris English for Nusantara Kids untuk SDMI Kelas V.pdf,1bqIA1Z-p_CNohNTUkgDQ7omHpZBvEvRH,https://drive.google.com/file/d/1bqIA1Z-p_CNohNTUkgDQ7omHpZBvEvRH/view?usp=drivesdk
siswa_5_Pendidikan Agama Buddha dan Budi Pekerti untuk SD Kelas V.pdf,1gfQBvAy6PH2MNbeLf3kUhqCMnBiyP0bD,https://drive.google.com/file/d/1gfQBvAy6PH2MNbeLf3kUhqCMnBiyP0bD/view?usp=drivesdk
siswa_5_Matematika untuk SDMI Kelas V.pdf,11fcI50MLyQlDclIIo1H2PIP7a2MjHPfK,https://drive.google.com/file/d/11fcI50MLyQlDclIIo1H2PIP7a2MjHPfK/view?usp=drivesdk
siswa_3_Pendidikan Kepercayaan Terhadap Tuhan Yang Maha Esa dan Budi Pekerti untuk SD Kelas III.pdf,1nZQxgYDMxmtTOQSvbIelWqnG2-5QZ4az,https://drive.google.com/file/d/1nZQxgYDMxmtTOQSvbIelWqnG2-5QZ4az/view?usp=drivesdk
siswa_5_Ilmu Pengetahuan Alam dan Sosial untuk SDMI Kelas V (Edisi Revisi).pdf,16z_jRrZov2Asj5QHNNNVEpkFuS4SvGlS,https://drive.google.com/file/d/16z_jRrZov2Asj5QHNNNVEpkFuS4SvGlS/view?usp=drivesdk
siswa_4_Pendidikan Pancasila untuk SDMI Kelas IV.pdf,198nW9OnrGB3qbxR9YUpf7UdUZ7tB4lDO,https://drive.google.com/file/d/198nW9OnrGB3qbxR9YUpf7UdUZ7tB4lDO/view?usp=drivesdk
siswa_4_Pendidikan Kepercayaan Terhadap Tuhan Yang Maha Esa dan Budi Pekerti untuk SD Kelas IV.pdf,1P3VgRAWCpZq3DQ5kDNly_gi755ePo6Zq,https://drive.google.com/file/d/1P3VgRAWCpZq3DQ5kDNly_gi755ePo6Zq/view?usp=drivesdk
siswa_4_Pendidikan Agama Khonghucu dan Budi Pekerti untuk SD Kelas IV.pdf,1a4yE0sWAUNvIj04hRrC1H0PotpoCvzmC,https://drive.google.com/file/d/1a4yE0sWAUNvIj04hRrC1H0PotpoCvzmC/view?usp=drivesdk
"siswa_4_Pendidikan Jasmani, Olahraga, dan Kesehatan untuk SDMI Kelas IV.pdf",13E-5u1OmlSthWIhKgu5Qb9qnvrso5toc,https://drive.google.com/file/d/13E-5u1OmlSthWIhKgu5Qb9qnvrso5toc/view?usp=drivesdk
siswa_4_Pendidikan Agama Kristen dan Budi Pekerti untuk SD Kelas IV.pdf,1JR8wRR9CKSljCwNVMbmyJB6WPk5nqZGn,https://drive.google.com/file/d/1JR8wRR9CKSljCwNVMbmyJB6WPk5nqZGn/view?usp=drivesdk
siswa_4_Pendidikan Agama Buddha dan Budi Pekerti untuk SD Kelas IV.pdf,1Db6cXN-yUahQWVIHtWLjt7L5ntufYcvl,https://drive.google.com/file/d/1Db6cXN-yUahQWVIHtWLjt7L5ntufYcvl/view?usp=drivesdk
